,artist_uri,artist
0,spotify:artist:6i8MWognuWjNQSP3iwDfqJ,The Saddest Landscape
1,spotify:artist:0ty0xha1dbprYIUAQufkFn,Patti LaBelle
2,spotify:artist:3LLs28LJVlXAjWc8UDkcQZ,Zion I
3,spotify:artist:1xF9B1eiCKUejBnEE9k3sY,The Young Gods
4,spotify:artist:3vKT7DifMxpG9CWR7c8eC8,JOBA
5,spotify:artist:2TD63ASEB2JcYY3C4KWJjz,Yung Gleesh
6,spotify:artist:7o9hTqdhcddND3te69BBsk,Mo Kolours
7,spotify:artist:4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes
8,spotify:artist:3hKQ0ei5p0h3z6yicNvbna,Vapors of Morphine
9,spotify:artist:6gaJGaB233AT6PylxJhkU4,Yoni & Geti
10,spotify:artist:5aYyPjAsLj7UzANzdupwnS,Good Charlotte
11,spotify:artist:0CW3aaY5gtWFStE6Vj6ZHI,dark cat
12,spotify:artist:4Ojq8WaaD3QA7dS8v9Ypf3,Salvia Plath
13,spotify:artist:7iHLprNYoDYWZuCngv3SOY,Cecil Otter
14,spotify:artist:5fikk4h5qbEebqK2Fc6e48,En Vogue
15,spotify:artist:7JSIM5U7TZym5M3Q1AFG80,The Orlons
16,spotify:artist:1BBIIH0h76KN8gYeXFcPjR,Corrosion Of Conformity
17,spotify:artist:7FDlvgcodNfC0IBdWevl4u,James Vincent McMorrow
18,spotify:artist:1Cc79YAHP7xvQAVQSjveP6,Alejandro Escovedo
19,spotify:artist:0aLsJXIaJ6MMCZIzaGpMaX,Little Joy
20,spotify:artist:5UtQf6Eqewo02lVCo3lImQ,Tha Dogg Pound
21,spotify:artist:5DpSoH5zCXNRqYai7pmcGG,Yngwie Malmsteen
22,spotify:artist:7MlyHuGRHi31yYlrttDqgT,The Distillers
23,spotify:artist:0OtigLoCgLYvXnMxbE5qH5,Lost Boyz
24,spotify:artist:0A97olVepqtH6CCUoSaGEl,Evildead
25,spotify:artist:2uvY5pgdD9t1CZ5zMNw1rl,Lucy Rose
26,spotify:artist:2J257euzcjnDLipsyJH3F2,Clipse
27,spotify:artist:3EHztVB0kFpqp0N8MlmD1X,Beherit
28,spotify:artist:242iqFnwNhlidVBMI9GYKp,The Verve Pipe
29,spotify:artist:2N8XkSGgBeH1VrFHxbarbz,Ahab
30,spotify:artist:0NnzRoaRPWmhsKWgo5AN9l,Enisum
31,spotify:artist:2ugPdplEWBmyU6EcIzlcY1,The Contours
